ano,digital_payments_transaction_value_million_us,users_digital_payments_millions
2017,35.441,127.34
2018,41.185,134.23
2019,47.546,141.02
2020,54.029,147.67
2021,60.729,154.13
2022,67.832,160.37
2023,75.526,166.35
